"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-2601","09/22/2025 2:03 PM","09/22/2025 2:03 PM - 09/22/2025 2:42 PM","Criminal Mischief","370 Jay Street - Exterior","Washington Square","A staff member reported Criminal Mischief.","Open"
"2025-2600","09/22/2025 2:00 PM","09-22-2025 - 09/22/2025 2:30 PM","Criminal Mischief","1 Washington Square North - Exterior","Washington Square","A staff member reported Criminal Mischief.","Open"
"02795-2025","09/21/2025 1:39 AM","09/20/2025 11:15 PM - 09-20-2025","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x14","Closed/Referred to Office of Student Conduct & Community Standards"
"02785-2025","09/20/2025 3:27 AM","09/19/2025 9:50 PM - 09-19-2025","Liquor Law Violation","Brittany Residence Hall","Washington Square","A student reported a Liquor Law Violation. x7","Closed/Referred to Office of Student Conduct & Community Standards"
"02775-2025","09/20/2025 3:17 AM","09/19/2025 9:58 PM - 09-19-2025","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x11","Closed/Referred to Office of Student Conduct & Community Standards"
"02774-2025","09/20/2025 3:12 AM","09/20/2025 12:30 AM - 09/20/2025 12:30 AM","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x8","Closed/Referred to Office of Student Conduct & Community Standards"
"02773-2025","09/20/2025 3:07 AM","09/20/2025 12:10 AM - 09/20/2025 12:10 AM","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/Referred to Office of Student Conduct & Community Standards"
"02771-2025","09/20/2025 3:00 AM","09/20/2025 12:00 AM - 09/20/2025 12:00 AM","Liquor Law Violation","University Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/Referred to Office of Student Conduct & Community Standards"
"2025-2596","09/21/2025 10:47 PM","09/21/2025 10:47 PM - 09/21/2025 10:55 PM","Falsley Reported an Incident","370 Jay Street","Brooklyn Commons","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2595","09/21/2025 10:40 PM","09/21/2025 10:40 PM - 09/21/2025 10:57 PM","Falsely Reported an Incident","725 Broadway","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Open"
"2025-2594","09/21/2025 9:49 PM","09/21/2025 9:45 PM - 09/21/2025 9:57 PM","Falsely Reporting an Incident","Bobst Library","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2593","09/21/2025 9:37 PM","09/21/2025 9:37 PM - 09/21/2025 9:45 PM","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2592","09/21/2025 7:48 PM","09/20/2025 5:40 PM - 09-21-2025","Criminal Mischief","Carlyle Court Residence Hall","Washington Square","A student reported Criminal Mischief.","Open"
"2025-2591","09/21/2025 6:00 PM","09/21/2025 10:30 AM - 09/21/2025 6:00 PM","Motor Vehicle Theft","Schwartz Plaza","Washington Square","A student reported a E-bike theft.","Closed/Referred to NYPD"
"2025-2590","09/21/2025 6:17 PM","09/21/2025 6:15 PM - 09/21/2025 6:40 PM","Falsely Reporting an Incident","370 Jay Street","Brooklyn Commons","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
"2025-2589","09/21/2025 6:27 PM","09/21/2025 6:15 PM - 09/21/2025 6:21 PM","Larceny","Sullivan Street & Washington Square South","Washington Square","A student reported a Larceny.","Open"
"2025-2576","09/20/2025 12:29 PM","09/20/2025 12:30 PM - 09/20/2025 12:42 PM","Falsely Reporting an Incident","Pless Hall","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Open"
"2025-2558","09/19/2025 1:18 PM","09/19/2025 12:50 PM - 09/19/2025 1:15 PM","Larceny","Shimkin Hall","Washington Square","A student reported a Larceny.","Closed/Referred to NYPD"
"2025-2553","09/19/2025 9:22 AM","09/16/2025 11:29 PM - 09/19/2025 7:09 AM","Larceny","7 Washington Place","Washington Square","A campus safety officer reported a Larceny.","Open"
"2025-2550","09/18/2025 8:27 PM","09/16/2025 9:37 PM - 09/16/2025 10:30 PM","Larceny","Carlyle Court Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-2545","09/18/2025 3:55 PM","09/18/2025 1:15 PM - 09/18/2025 1:30 PM","Larceny","Kaufman Management Center","Washington Square","A student reported a Larceny.","Open"
"2025-2540","09/18/2025 11:48 AM","09/18/2025 11:47 AM - 09/18/2025 11:52 AM","Falsely Reporting an Incident","Bobst Library","Washington Square","A campus safety officer reported a Falsely Reported Incident.","Closed/Referred to NYPD"
