"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-1239","04-25-2025 6:24 PM","04-25-2025 4:15 PM - 04-25-2025 6:24 PM","Larceny","404 Lafayette Street","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-1238","04-25-2025 7:14 PM","04-25-2025 1:00 PM - 04-25-2025 7:11 PM","Larceny","725 Broadway - Exterior","Washington Square","A student reported missing property.","Open"
"2025-1236","04-25-2025 4:55 PM","04-25-2025 2:00 PM - 04-25-2025 3:55 PM","Larceny","370 Jay Street - Exterior","Brooklyn Commons","A student reported missing property.","Closed"
"2025-1235","04-25-2025 3:00 PM","04-25-2025 2:00 PM - 04-25-2025 3:00 PM","Larceny","Paulson Center","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-1234","04-25-2025 4:50 PM","04-25-2025 4:50 PM - 04-25-2025 5:20 PM","Harassment","Washington Mews","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"01263-2025","04-24-2025 9:45 AM","03-15-2025 - 04-24-2025","Harassment","Carlyle Court Residence Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Title IX"
"2025-1228","04-25-2025 7:35 AM","04-05-2025","Larceny","Schwartz Hall","Kips Bay","A staff member reported missing property.","Open"
"2025-1227","04-25-2025 2:37 AM","04-25-2025 2:20 AM","Public Lewdness","Third North Hall","Washington Square","A student reported Public Lewdness.","Open"
"2025-1223","04-24-2025 7:40 PM","04-24-2025 6:16 PM - 04-24-2025 7:40 PM","Loitering","561 LaGuardia Place","Washington Square","A Campus Safety Officer reported Loitering.","Open"
"2025-1223","04-24-2025 6:16 PM","04-21-2025 - 04-24-2025","Stalking","721 Broadway","Washington Square","A student reported Stalking.","Closed/ Referred to Title IX"
"2025-1221","04-24-2025 7:24 PM","02-04-2025 4:00 PM - 04-17-2025","Harassment","Third North Hall","Washington Square","A student reported Harassment.","Open"
"2025-1218","04-24-2025 3:47 PM","04-24-2025 3:30 PM - 04-24-2025 3:40 PM","Larceny","Sixth Street Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-1213","04-24-2025 11:40 AM","04-23-2025 11:30 PM - 04-23-2025 11:45 PM","Larceny","Grammercy Green Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-1211","04-24-2025 1:30 AM","04-23-2025 10:51 PM - 04-23-2025 11:25 PM","Criminal Mischief","Gould Plaza","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1210","04-24-2025 1:19 AM","04-24-2025 1:17 AM","Harassment","Palladium Hall - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-1207","04-23-2025 4:40 PM","04-23-2025 7:30 AM - 04-23-2025 4:30 PM","Motor Vehicle Theft","4 Washington Place - Exterior","Washington Square","A student reported a stolen e-scooter.","Closed/ Referred to NYPD"
"2025-1204","04-23-2025 12:40 PM","04-23-2025 12:40 PM - 04-23-2025 1:14 PM","Loitering","Weissman Hall","Kips Bay","A staff member reported Loitering.","Closed/ Referred to NYPD"
"2025-1202","04-23-2025 11:51 AM","04-23-2025 11:50 AM - 04-23-2025 11:58 AM","Harassment","Kimball Hall - Exterior","Washington Square","A Campus Safety Officer reported Harassment.","Closed/ Referred to NYPD"
"2025-1198","04-22-2025 11:30 PM","04-22-2025 3:30 PM - 04-22-2025 8:40 PM","Larceny","Shimkin Hall","Washington Square","A student reported missing property.","Open"
"2025-1194","04-22-2025 6:55 PM","04-22-2025 6:00 PM","Criminal Mischief","715 Broadway - Exterior","Washington Square","A staff member reported property damage.","Open"
"2025-1188","04-22-2025 11:58 AM","04-20-2025 12:00 PM 04-21-2025 10:00 AM","Larceny","Seventh Street Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-1187","04-22-2025 12:51 PM","03-01-2025 - 04-01-2025","Harassment","Paulson Center","Washington Square","A staff member reported Harassment.","Open"
"2025-1184","04-22-2025 5:20 AM","04-22-2025 5:20 AM","Criminal Mischief","12 Waverly Place","Washington Square","A Campus Safety Officer reported property damage.","Closed/ Referred to NYPD"
"2025-1182","04-22-2025 1:25 AM","04-18-2025 12:00 PM 4-18-2025 3:30 PM","Larceny","6th Street Residence Hall","Washington Square","A student reported missing property.","Open"
"2025-1181","04-21-2025 8:32 PM","04-21-2025","Stalking","400 Broome Street","Washington Square","A student reported Stalking.","Closed/ Referred to Office of Student Conduct & Community Standards"
"01219-2025","04-21-2025 10:38 AM","04-19-2025 - 04-21-2025","Criminal Mischief","Greenwich Hall","Washington Square","A student reported property damages.","Open"
"2025-1175","04-21-2025 12:47 PM","04-21-2025 12:47 PM - 04-21-2025 1:30 PM","Loitering","Forbes Building","Washington Square","A Campus Safety Officer reported Loitering.","Closed/ Referred to NYPD"
"2025-1162","04-20-2025 3:54 PM","04-20-2025 2:22 PM - 04-20-2025 3:12 PM","Larceny","Paulson Center","Washington Square","A student reported missing property.","Open"
"2025-1161","04-20-2025 4:00 PM","04-19-2025 2:49 PM - 04-19-2025 10:03 PM","Larceny","Hayden Hall","Washington Square","A student reported missing property.","Open"
"2025-1159","04-20-2025 12:12 PM","04-20-2025 12:12 PM","Harassment","Bobst Library - Exterior","Washington Square","A Security Officer reported Harassment.","Closed/ Referred to NYPD"
"2025-1158","04-20-2025 9:51 AM","03-28-2025 11:00 PM 04-20-2025 8:00 am","Larceny","Palladium Hall","Washington Square","A student reported missing property.","Open"
"2025-1143","04-18-2025 4:50 PM","04-18-2025 4:50 PM","Criminal Mischief","Silver Center","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-1142","04-18-2025 2:21 PM","04-18-2025 1:22 PM - 04-18-2025 2:21 PM","Criminal Trespass","Kimmel Hall","Washington Square","A student reported Criminal Trespass.","Closed/ Referred to NYPD"
