"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-3726","12/31/2025 7:30 AM","12/30/2025 11:00 PM - 12/31/2025 8:17 AM","Criminal Mischief","16 Washington Mews","Washington Square","A staff member reported Criminal Mischief.","Closed/Referred to NYPD"
"2025-3712","12/24/2025 12:41 PM","12/12/2025 2:08 PM - 12/24/2025 12:30 PM","Larceny","15 Washington Place","Washington Square","A community member reported a Larceny.","Open"
"2025-3711","12/24/2025 1:03 PM","12/24/2025 10:00 AM - 12/24/2025 12:45 PM","Larceny","15 Washington Place","Washington Square","A community member reported a Larceny.","Open"
"2025-3703","12/21/2025 12:01 PM","12/21/2025 11:58 AM - 12/21/2025 12:54 PM","Criminal Mischief","Catholic Center - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/Referred to NYPD"
"2025-3690","12/19/2025 9:59 AM","12/18/2025 4:02 PM - 12/18/2025 5:15 PM","Harassment","655 Broadway","Washington Square","A staff member reported Harassment.","Open"
"04476-2025","12/18/2025 8:08 PM","12/17/2025 8:30 PM - 12/18/2025 6:00 PM","Larceny","Clark Street Residence Hall","Brooklyn Commons","A student reported missing property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"04473-2025","12/18/2025 8:00 PM","12/17/2025 7:30 PM","Criminal Mischief / Criminal Tampering","Third North Avenue Residence Hall","Washington Square","A student reported Criminal Mischief and Criminal Tampering.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3689","12/19/2025 7:46 AM","12/19/2025 7:46 AM - 12/19/2025 8:01 AM","Criminal Trespass","Fairchild Hall","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Open"
"2025-3684","12/19/2025 12:35 AM","12/19/2025 12:35 PM","Criminal Mischief","370 Jay Street","Brooklyn Commons","A Campus Safety Officer reported Graffiti.","Open"
"2025-3683","12/18/2025 10:46 PM","12/18/2025 5:00 PM - 12/18/2025 11:25 PM","Criminal Trespass","University Hall","Washington Square","A staff member reported Criminal Trespass.","Open"
"2025-3680","12/18/2025 12:00 AM","12/03/2025 6:08 PM - 12/12/2025 8:44 PM","Harassment","Alumni Relations","Washington Square","Two staff members reported Harassment.","Open"
"2025-3679","12/18/2025 2:35 PM","01-2025 - 12-2025","Harassment","6 Metrotech Center","Brooklyn Commons","A staff member reported Harassment.","Open"
"2025-3677","12/18/2025 11:00 AM","09-2025 - 12/14/2025","Harassment","Palladium Residence Hall","Washington Square","A student reported Harassment.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-3671","12/18/2025 5:15 AM","12/18/2025 5:00 AM","Criminal Mischief","Meyer Hall (exterior)","Washington Square","A Campus Safety Officer observed graffiti.","Closed/ Referred to NYPD"
