"col1","col2","col3","col4","col5","col6","col7","col8"
"00883-2025","03/19/2025 1:43 PM","09/27/2024 4:00 PM - 10-06-2024 Unknown","Stalking/ Fondling/ Sexual Abuse","370 Jay Street","Brooklyn Commons","A student reported Stalking/ Fondling x2/ Sexual Abuse.","Closed/ Referred to Office of Student Conduct & Community Standards"
"00881-2025","03/19/2025 1:30 PM","09-01-2024 - 10-02-2024","Stalking/ Sexual Abuse/ Fondling","370 Jay Street","Brooklyn Commons","A student reported Stalking/ Sexual Abuse/ Fondling x3.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-0811","03/20/2025 8:08 AM","03/20/2025 8:00 AM - 03-20-2025","Larceny","Washington Square South & Washington Square West Intersection","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"2025-0809","03/20/2025 12:38 AM","03/08/2025 1:00 PM - 03-17-2025","Stalking","Palladium Residence Hall","Washington Square","A student reported Stalking.","Closed"
"2025-0800","03/19/2025 11:58 AM","03/14/2025 4:00 PM - 03/18/2025 6:30 PM","Larceny","King Juan Carlos","Washington Square","A student reported a Larceny.","Closed"
"2025-0798","03/19/2025 11:36 AM","03/19/2025 10:00 AM - 03/19/2025 11:45 AM","Larceny","404 Lafayette Street","Washington Square","A student reported a Larceny.","Closed"
"2025-0794","03/18/2025 9:25 PM","03/18/2025 9:22 PM - 03/18/2025 9:35 PM","Criminal Trespass","370 Jay Street","Brooklyn Commons","A campus safety officer reported a Criminal Trespass.","Closed/ Referred to NYPD"
"2025-0793","03/18/2025 7:03 PM","03/18/2025 2:00 PM - 03/18/2025 6:00 PM","Motor Vehicle Theft","Schwartz Hall - Exterior","Kips Bay & Langone (Public property only)","A student reported a stolen electric scooter.","Open"
"2025-0790","03/18/2025 5:51 PM","03/17/2025 5:00 PM - 03/17/2025 10:00 PM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
"2025-0788","03/18/2025 2:47 PM","03/03/2025 2:38 PM - 03/03/2025 2:42 PM","Disorderly Conduct","NYU Bookstore","Washington Square","A staff member reported Disorderly Conduct.","Open"
"2025-0779","03/18/2025 3:14 AM","03/17/2025 2:30 PM - 03/18/2025 3:15 AM","Motor Vehicle Theft","Dibner Library - Exterior","Brooklyn Commons","A student reported a E-Scooter Theft.","Closed/ Referred to NYPD"
"2025-0771","03/17/2025 3:40 PM","03/07/2025 1:20 PM - 03/07/2025 3:40 PM","Larceny","Schwartz Hall","Kips Bay","A student reported a Larceny.","Closed/ Referred to NYPD"
"2025-0765","03/17/2025 3:58 AM","03/17/2025 12:35 AM - 03/17/2025 3:40 AM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Closed"
"2025-0759","03/15/2025 3:33 PM","03/15/2025 9:30 AM - 03/15/2025 3:20 PM","Motor Vehicle Theft","725 Broadway - Exterior","Washington Square","A student reported an Electric Scooter Theft.","Closed"
"2025-0749","03/14/2025 7:55 PM","03/14/2025 5:40 PM - 03-14-2025","Larceny/ Embezzlement","Washington Square Park","Washington Square","A student reported Larceny/ Embezzlement.","Closed"
"2025-0744","03/14/2025 12:19 PM","03/13/2025 4:00 PM - 03-14-2025","Larceny","Hayden Residence Hal","Washington Square","A student reported a Larceny.","Open"
"2025-0737","03/13/2025 8:44 PM","03/13/2025 6:15 PM - 03/13/2025 8:30 PM","Larceny","Rogers Hall","Brooklyn Commons","A student reported a Larceny.","Closed"
"2025-0735","03/13/2025 3:16 PM","03/13/2025 3:16 PM - 03/13/2025 3:30 PM","Criminal Mischief","Carlyle Court - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Open"
"2025-0729","03/13/2025 11:43 AM","03/13/2025 9:26 AM - 03/13/2025 9:27 AM","Larceny","NYU Bookstore","Washington Square","A staff member reported a Larceny.","Closed/ Referred to NYPD"
"2025-0728","03/13/2025 8:11 AM","03-13-2025 Unknown - 03-13-2025","Criminal Trespass","Weinstein Residence Hall","Washington Square","A staff member reported a Criminal Trespass.","Open"
"2025-0725","03/13/2025 6:09 AM","03/13/2025 6:00 AM - 03-13-2025","Menacing/ Intimidation","Washington Square Park","Washington Square","A student reported Menacing/ Intimidation.","Open"
"2025-0722","03/12/2025 8:11 PM","03/12/2025 8:00 PM - 03/12/2025 8:05 PM","Larceny","Washington Square Park","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-0721","03/12/2025 7:35 PM","03/12/2025 7:25 PM - 03/12/2025 7:50 PM","Criminal Trespass","Lipton Residence Hall","Washington Square","A campus safety officer reported a Criminal Trespass","Open"
"2025-0720","03/12/2025 5:50 PM","03/11/2025 9:00 PM - 03/12/2025 12:00 AM","Larceny","Silver Center","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"2025-0717","03/12/2025 4:52 PM","02/14/2025 6:21 PM - 02-14-2025","Harassment","Alumni Residence Hall","Washington Square","A staff member reported Harassment.","Closed"
"2025-0709","03/11/2025 10:20 PM","03/11/2025 7:00 PM - 03/11/2025 8:30 PM","Larceny","Lipton Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-0706","03/11/2025 6:50 PM","03-11-2025 - 03/11/2025 6:20 PM","Larceny","Tisch Hall","Washington Square","A student reported a Larceny.","Open"
"2025-0703","03/11/2025 4:03 PM","03/11/2025 3:20 PM - 03/11/2025 3:20 PM","Criminal Mischief","Silver Center","Washington Square","A campus safety officer reported Criminal Mischief.","Open"
"2025-0702","03/11/2025 3:24 PM","03/05/2025 12:00 AM - 03/05/2025 12:00 AM","Harassment","Founders Residence Hall","Washington Square","A student reported Harassment.","Open"
"2025-0701","03/11/2025 11:41 AM","03/11/2025 11:30 AM - 03/11/2025 11:50 AM","Disorderly Conduct","383 Lafayette Street","Washington Square","A campus safety officer reported Disorderly Conduct.","Closed/ Referred to NYPD"
"2025-0700","03/11/2025 11:39 AM","03/11/2025 11:21 AM - 03/11/2025 1:10 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
"2025-0698","03/11/2025 10:29 AM","03/07/2025 2:00 PM - 03/07/2025 7:00 PM","Larceny","708 Broadway","Washington Square","A staff member reported a Larceny.","Open"
"2025-0693","03/10/2025 7:30 PM","03/10/2025 5:23 PM - 03/10/2025 7:04 PM","Harassment","Broome Street Residence","Washington Square","A student reported Harassment.","Open"
"2025-0690","03/10/2025 7:33 PM","03/10/2025 5:30 PM - 03-10-2025","Harassment","Bobst Library","Washington Square","A student reported Harassment.","Open"
"2025-0689","03/10/2025 6:00 PM","03/10/2025 4:16 PM - 03/10/2025 5:30 PM","Larceny","404 Lafayette Street","Washington Square","A student reported a Larceny.","Open"
"2025-0688","03/10/2025 4:30 PM","03/10/2025 2:00 PM - 03/10/2025 3:00 PM","Larceny","Washington Place & Greene Street","Washington Square","A student reported missing property.","Open"
"2025-0687","03/10/2025 5:08 PM","03-06-2025- 03-07-2025","Harassment","Palladium Residence Hall","Washington Square","A staff member reported Harassment.","Open"
"2025-0685","03/10/2025 3:54 PM","03/10/2025 1:30 PM - 03/10/2025 2:45 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-0677","03/09/2025 3:45 PM","03/08/2025 11:55 AM - 03/08/2025 4:45 PM","Larceny","404 Lafayette Street","Washington Square","A student reported a Larceny.","Open"
"2025-0676","03/09/2025 10:37 AM","03/09/2025 10:28 AM - 03/09/2025 11:45 AM","Larceny","Vanderbilt Hall - Exterior","Washington Square","A campus safety officer reported a Larceny.","Closed/ Referred to NYPD"
"2025-0671","03/08/2025 8:41 PM","03/08/2025 6:10 PM - 03/08/2025 7:50 PM","Larceny/ Embezzlement","Lipton Residence Hall - Exterior","Washington Square","A student reported Larceny/ Embezzlement.","Closed/ Referred to NYPD"
"2025-0668","03/08/2025 5:39 PM","03/08/2025 5:26 PM - 03/08/2025 12:00 AM","Criminal Trespass","404 Lafayette Street","Washington Square","A campus safety officer reported a Criminal Trespass.","Open"
"2025-0667","03/08/2025 2:11 PM","03/08/2025 2:11 PM - 03/08/2025 3:01 PM","Criminal Trespass","725 Broadway","Washington Square","A campus safety officer reported a Criminal Trespass.","Closed/ Referred to NYPD"
"2025-0659","03/08/2025 2:40 AM","03/08/2025 2:36 AM - 03/08/2025 2:40 AM","Criminal Trespass/ Harassment","Broome Street Residence Hall","Washington Square","A campus safety officer reported a Criminal Trespass/ Harassment.","Closed/ Referred to NYPD"
"2025-0649","03/07/2025 2:45 AM","03/07/2025 1:00 AM - 03/07/2025 2:30 AM","Aggravated Assault, Dating Violence, Stalking, Harassment","Founders Hall","Washington Square","A student reported dating violence involving Aggravated Assault, Stalking, and Harassment.","Closed/ Referred to Title IX"
"2025-0646","03/06/2025 7:30 PM","03/06/2025 7:05 PM - 03/06/2025 7:11 PM","Disorderly Conduct","Skirball Center","Washington Square","A staff member reported Disorderly Conduct.","Open"
"2025-0642","03/06/2025 3:25 PM","03/05/2025 2:00 PM - 03/05/2025 3:28 PM","Larceny","Bobst Library","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-0641","03/06/2025 1:32 PM","03/06/2025 7:28 AM","Harassment","East Building","Washington Square","A Campus Safety Officer reported Harassment.","Open"
"2025-0637","03/06/2025 10:05 AM","03/06/2025 10:05 AM - 03/06/2025 10:30 AM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Open"
"00689-2025","03/05/2025 3:30 PM","01/29/2025 - 03/03/2025","Stalking, Menacing, Harassment (x2)","Weinstein Hall","Washington Square","A student reported stalking, menacing, and two incidents of harassment.","Closed/ Referred to Title IX"
"2025-0630","03/05/2025 4:30 PM","03/05/2025 4:20 PM","Criminal Trespass","35 W 4th Street","Washington Square","A Campus Safety Officer reported a PNG individual entered the lobby but was denied further access to the building.","Open"
"2025-0633","03/06/2025 2:18 AM","03/06/2025 2:15 AM","Criminal Mischief","726 Broadway (Exterior)","Washington Square","A Campus Safety Officer reported vandalism.","Closed/Referred to NYPD"
"2025-0631","03/05/2025 5:24 PM","03/05/2025 5:03 PM","Criminal Trespass","Weinstein Hall","Washington Square","A Campus Safety Officer reported a criminal trespass.","Open"
"2025-0631","03/05/2025 5:24 PM","03/05/2025 1:30 PM - 03/05/2025 4:59 PM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Open"
"2025-0630","03/05/2025 4:30 PM","03/05/2025 4:20 PM","Criminal Trespass","35 W 4th Street","Washington Square","A Campus Safety Officer reported a PNG individual entered the lobby but was denied further access to the building.","Open"
"2025-0629","03/05/2025 4:00 PM","02/10/2025 4:00 PM","Larceny","Schwartz Hall","Kips Bay","A student reported a larceny.","Open"
"00689-2025","03/05/2025 3:30 PM","01/29/2025 12:00 PM - 03/03/2025 12:00 PM","Stalking, Menacing, Harassment (x2)","Weinstein Hall","Washington Square","A student reported stalking, menacing, and two incidents of harassment.","Closed/Referred to Title IX"
"2025-0622","03/05/2025 11:46 AM","03/04/2025 5:00 PM - 03/05/2025 11:00 AM","Larceny","Third North","Washington Square","A student reported a larceny.","Open"
"00654-2025","03-03-2025 10:12 AM","03-03-2025","Larceny","Founders Hall","Washington Square","A student reported missing property.","Open"
"2025-0613","03-04-2025 10:08 AM","03-04-2025 10:00 AM","Loitering (27)","Bobst Library","Washington Square","A staff member reported Loitering x27.","Open"
"2025-0611","03-03-2025 3:12 PM 03-","03-2025 12:00 PM - 03-03-2025 12:05 PM","Harassment","411 Lafayette Street","Washington Square","A staff member reported Harassment.","Closed/ Referre d to NYPD"
"2025-0610","03-04-2025 11:35 AM","03-02-2025 8:30 PM - 03-03-2025 5:00 PM","Larceny","Bobst Library","Washington Square","A student reported missing property.","Open"
"2025-0609","03-04-2025 11:00 AM","02-28-2025 8:00 PM - 03-03-2025 8:45 PM","Larceny","Kimmel Center","Washington Square","A student reported missing property.","Open"
"2025-0607","03-04-2025 10:40 AM","02-27-2025 5:00 PM - 03-04-2025 10:00 AM","Larceny","Genomics Center","Washington Square","A staff member reported missing property.","Open"
"2025-0606","03-04-2025 8:55 AM","03-04-2025 8:55 AM","Criminal Mischief","133 MacDougal Street","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referre d to NYPD"
"2025-0603","03-03-2025 11:41 PM","03-03-2025 9:00 PM - 03-03-2025 10:30 PM","Larceny","Kaufman Management Center","Washington Square","A student reported missing property.","Open"
"2025-0593","03-03-2025 3:55 PM","03-03-2025 3:48 PM","Harassment","2 Metrotech Center - Exterior","Brooklyn Commons","A faculty member reported Harassment.","Open"
"2025-0578","03-01-2025 11:37 PM","03-01-2025 11:37 PM","Public Lewdness","University Hall","Washington Square","A student reported Public Lewdness.","Closed/ Referred to NYPD"
"2025-0572","03-01-2025 5:40 AM","03-01-2025 3:00 AM - 03-01-2025 5:10 AM","Aggravated Assault","Weinstein Hall","Washington Square","A student reported an Aggravated Assault.","Closed/ Referred to NYPD"
