"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-0930","04-01-2025 7:48 AM","03-07-2025 4:10 PM - 03-07-2025 4:20 PM","Criminal Trespass","Kimmel Center","Washington Square","A staff member reported a Criminal Trespass.","Open"
"2025-0920","03-31-2025 10:45 AM","03-02-2025 10:53 AM - 03-04-2025 9:00 AM","Larceny","Hayden Hall","Washington Square","A student reported missing property.","Open"
"2025-0916","03-31-2025 2:11 AM","03-31-2025 2:11 AM","Criminal Mischief","Gould Plaza","Washington Square","A staff member reported graffiti.","Closed/ Referred to NYPD"
"2025-0913","03-30-2025 10:52 PM","12-2024 - 03-30-2025","Larceny","7 Washington Place","Washington Square","A Campus Safety Officer reported missing property.","Open"
"2025-0911","03-30-2025 6:48 PM","03-30-2025 6:15 PM - 03-30-2025 6:45 PM","Larceny","Gramercy Green","Washington Square","A student reported stolen property.","Open"
"2025-0908","03-30-2025 7:22 AM","03-30-2025 7:22 AM","Criminal Mischief","Kimmel Center","Washington Square","A Campus Safety Officer reported graffiti.","Open"
"2025-0905","03-29-2025 6:03 PM","03-29-2025 5:00 PM - 03-29-2025 5:05 PM","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Open"
"2025-0904","03-29-2025 2:52 AM","03-29-2025 2:52 AM","Criminal Mischief","10 Washington Place","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-0899","03-28-2025 10:32 PM","03-28-2025 10:20 PM","Harassment","Brittany Hall","Washington Square","A student reported Harassment.","Open"
"00989-2025","03-27-2025 6:31 PM","03-27-2025 2:50 PM","Liquor Law Violation (x4)","Greenwich Residence Hall","Washington Square","A staff member reported underage alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-0885","03-27-2025 12:16 PM","03-27-2025 12:16 PM","Falsely Reporting an Incident","Tisch Hall","Washington Square","An individual falsely activated a fire alarm.","Closed/ Referred to NYPD"
"2025-0884","03-26-2025 7:48 PM","03-26-2025","Criminal Mischief","238 Thompson Street","Washington Square","An NYU-affiliate reported Criminal Mischief.","Open"
"2025-0877","03-25-2025 5:50 PM","03-25-2025","Harassment","Washington Square Park","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2025-0876","03-25-2025","03-25-2025 4:30 PM - 03-25-2025 5:00 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-0866","03-24-2025 4:35 PM","03-24-2025 4:35 PM","Criminal Mischief","Othmer Residence Hall","Brooklyn Commons","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"00928-2025","03-21-2025 2:42 PM","03-17-2025 4:19 PM","Larceny","Carlyle Court Residence Hall","Washington Square","A student reported missing property.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-0852","03-23-2025 3:54 PM","03-23-2025 3:40 PM","Criminal Trespass","Bobst Library","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Closed"
"2025-0843","03-22-2025 9:53 AM","03-22-2025 9:53 AM - 03-22-2025 12:46 PM","Criminal Tampering","Undisclosed on-campus location","N/A","A staff member reported a hacking.","Closed/ Referred to NYPD"
"00905-2025","03/20/2025 12:41 PM","03/18/2025 11:30 PM - 03/19/2025 12:50 AM","Larceny","Coral Towers Residence Hall","Washington Square","A student reported a Larceny.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-0818","03/20/2025 4:27 PM","03-20-2025 - 03-20-2025","Simple Assault","Schwartz Hall - Exterior","Kips Bay & Langone (Public property only)","A student reported Simple Assault.","Closed/ Referred to NYPD"
