"col1","col2","col3","col4","col5","col6","col7","col8"
"03293-2024","10/31/24 11:34 PM","10/31/24 10:22 PM","Liquor Law Violation","Third North Residence","Washington Square","A student reported a Liquor Law Violation. x8","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3036","10/31/24 11:45 PM","09/26/24 - 09/26/24","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2024-3032","10/31/24 05:13 PM","10/31/24 02:00 PM - 10/31/24 04:55 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Closed"
"2024-3030","10/31/24 02:16 PM","10/31/24 01:15 PM","Simple Assault/ Menacing","Washington Square Park","Washington Square","A student reported Simple Assault/ Menacing","Closed"
"2024-3029","10/31/24 02:42 PM","10/31/24 01:39 PM - 10/31/24 01:40 PM","Criminal Trespass","Schwartz Plaza & West 4th Street","Washington Square","A campus safety officer reported a Larceny.","Closed"
"2024-3027","10/31/24 01:08 PM","10/31/24 09:20 AM - 10/31/24 10:45 AM","Larceny","Silver Center","Washington Square","A student reported a Larceny.","Closed"
"2024-3016","10/30/24 08:52 PM","10/30/24 08:25 PM","Falsely Reporting an Incident","Tisch Hall","Washington Square","A staff member reported a Falsely Reported Incident.","Closed"
"2024-3013","10/30/24 06:12 PM","10/30/24 01:00 PM - 10/30/24 05:30 PM","Motor Vehicle Theft","1 MetroTech Center - Exterior","Brooklyn Commons","A student reported a Motor Vehicle Theft.","Open"
"2024-3012","10/30/24 03:46 PM","10/30/24 03:32 PM - 10/30/24 04:00 PM","Criminal Mischief","726 Broadway","Washington Square","A campus safety officer reported Criminal Mischief.","Closed"
"2024-3011","10/30/24 03:40 PM","10/30/24 02:00 PM - 10/30/24 02:45 PM","Larceny","Weinstein Residence Hall","Washington Square","A staff member reported a Larceny.","Closed"
"2024-3010","10/30/24 03:18 PM","10/30/24 01:00 PM - 10/30/24 01:05 PM","Larceny","Paulson Center - Exterior","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"2024-3005","10/30/24 01:11 PM","10/29/24 08:30 PM - 10/29/24 09:13 AM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Closed"
"2024-3004","10/30/24 12:30 PM","10/30/24 12:20 PM - 10/30/24 12:25 PM","Harassment","Tisch Hall","Washington Square","A student reported Harassment.","Closed"
"2024-3001","10/30/24 09:20 AM","10/30/24 09:10 AM - 10/30/24","Found Property (Reclassified from Larceny 11.1.24)","Bobst Library","Washington Square","A student reported a Larceny.","Closed"
"2024-2992","10/29/24 04:37 PM","10/25/24 06:00 PM - 10/27/24 01:00 PM","Larceny","Rubin Residence Hall","Washington Square","A student reported a Larceny.","Closed"
"2024-2991","10/29/24 03:04 PM","10/29/24 03:00 PM - 10/29/24 05:40 PM","Harassment","404 Lafayette Street","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2024-2988","10/29/24 03:43 PM","10/29/24","Harassment","Vanderbilt Hall","Washington Square","A staff member reported Harassment.","Open"
"2024-2976","10/28/24 05:58 PM","10/28/24 05:44 PM","Harassment","Shimkin Hall","Washington Square","An individual reported Harassment.","Closed"
"2024-2975","10/28/24 04:59 PM","10/28/24 01:00 PM - 10/28/24 04:58 PM","Motor Vehicle Theft","Pless Hall - Exterior","Washington Square","A staff member reported a Motor Vehicle Theft.","Closed/ Referred to NYPD"
"2024-2974","10/28/24 03:23 PM","10/24/24 06:00 PM - 10/25/24 11:00 AM","Larceny","721 Broadway","Washington Square","A student reported a Larceny.","Closed"
"C.0009965","11/07/24 12:00 AM","10/09/24 12:00 AM - 10/19/24 12:00 AM","Fondling (x2) / Rape (x2) / Harassment/ Simple Assault / Dating Violence (x4)","Othmer Residence Hall","Washington Square","A student reported dating violence involving Fondling, Rape, Harassment, and Simple Assault.","Closed / Referred to Title IX"
"03233-2024","10/28/24 02:58 AM","10/16/24","Rape/ Dating Violence","Othmer Residence Hall","Brooklyn Commons","A student reported Rape/ Dating Violence.","Closed/ Referred to Title IX"
"03232-2024","10/28/24 02:47 AM","09/21/24 08:45 PM","Liquor Law Violation","Lipton Residence Hall","Washington Square","A student reported a Liquor Law Violation. x3","Closed/ Referred to Office of Student Conduct & Community Standards"
"03211-2024","10/27/24 12:53 AM","10/26/24 10:15 AM","Liquor Law Violation","Rubin Residence Hall","Washington Square","A student reported a Liquor Law Violation. x14","Closed/ Referred to Office of Student Conduct & Community Standards"
"03194-2024","10/26/24 03:05 AM","10/25/24 09:45 PM","Liquor Law Violations","Palladium Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/ Referred to Office of Student Conduct & Community Standards"
"03193-202","10/26/24 02:00 AM","10/25/24 10:08 AM","Liquor Law Violation","Lipton Residence Hall","Washington Square","A student reported a Liquor Law Violation. x5","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-2966","10/27/24 11:27 AM","10/24/24 09:45 PM - 10/25/24 12:01 AM","Larceny","Second Street Residence Hall","Washington Square","A student reported Larceny.","Closed/ Referred to NYPD"
"2024-2955","10/26/24 01:05 PM","10/24/24 07:00 PM - 10/26/24 11:30 AM","Burglary (reclassified from Larceny 10.29.24)","196 Mercer Street","Washington Square","A staff member reported a Larceny.","Closed/ Referred to NYPD"
"2024-2945","10/25/24 08:49 PM","10/25/24 06:09 PM - 10/25/24 07:05 PM","Motor Vehicle Theft","238 Thompson Street - Exterior","Washington Square","A student reported the theft of an e-scooter.","Closed"
