"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-0238","01-31-2025 11:27 AM","01-26-2025 5:54 AM 01-26-2025 1:00 PM","Larceny","Hayden Hall","Washington Square","A student reported missing property.","Open"
"00227-2025","01-30-2025 8:41 PM","12-25-2024 - 01-30-2025","Stalking","Lafayette Hall","Washington Square","A student reported Stalking.","Closed/ Referred to NYPD"
"2025-0235","01-31-2025 9:05 AM","01-30-2025 5:00 PM 01-31-2025 8:53 AM","Larceny","Kimmel Center","Washington Square","A student reported missing property.","Closed/ Referred to NYPD"
"2025-0230","01-30-2025 8:29 PM","01-30-2025 8:26 PM 01-30-2025 8:44 PM","Criminal Trespass","Lipton Hall","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Closed"
"2025-0228","01-30-2025 4:00 PM","09-00-2025 - 01-30-2025","Stalking","6 Washington Place","Washington Square","A student reported Stalking.","Closed"
"2025-0226","01-30-2025 3:08 PM","01-30-2025 2:41 PM 01-30-2025 2:50 PM","Disorderly Conduct / Harassment","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct and Harassment.","Open"
"2025-0225","01-30-2025 1:26 PM","01-30-2025 11:20 AM 01-30-2025 11:50 AM","Disorderly Conduct /Harassment","Schwartz Hall","Kips Bay","A staff member reported Harassment and Disorderly Conduct.","Open"
"00221-2025","01-30-2025 2:37 PM","01-29-2025 11:00 AM 01-29-2025 12:00 PM","Harassment","Bobst Library - Exterior","Washington Square","A student reported Harassment.","Open"
"2025-0215","01-29-2025 8:20 PM","01-29-2025 7:35 PM 01-29-2025 7:38 PM","Harassment","Zurich Hall","Washington Square","A faculty member reported Harassment.","Closed"
"2025-0208","01-29-2025 11:16 AM","01-29-2025 10:25 AM 01-29-2025 12:18 PM","Disorderly Conduct","Schwartz Hall","Kips Bay","A staff member reported Disorderly Conduct.","Closed/ Referred to NYPD"
"00188-2025","01-28-2025 11:11 AM","01-27-2025 4:30 PM","Stalking / Fondling","Gramercy Green Residence Hall","Washington Square","A student reported Stalking and Fondling.","Closed/ Referred to Title IX"
"2025-0204","01-28-2025 8:17 PM","01-28-2025 8:30 AM 01-28-2025 7:50 PM","Larceny","Gallatin Building","Washington Square","A student reported missing property.","Closed"
"2025-0200","01-28-2025 4:00 PM","01-28-2025 3:45 PM","Larceny","West 3rd Street and Mercer Street","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2025-0197","01-28-2025 4:30 PM","01-28-2025 4:30 PM 01-28-2025 4:40 PM","Harassment","Schwartz Hall","Kips Bay","A staff member reported Harassment.","Open"
"2025-0195","01-28-2025 3:41 PM","12-13-2024 10:15 AM 12-13-2024 4:00 PM","Harassment","383 Lafayette Street","Washington Square","A Campus Safety Officer reported Harassment.","Closed"
"00167-2025","01-27-2025 10:53 AM","01-16-2025 3:06 AM","Criminal Mischief","Third Avenue North Residence Hall","Washington Square","An RA reported graffiti.","Open"
"00151-2025","01-26-2025 12:21 AM","01-25-2025 11:08 PM","Liquor Law Violation (x28)","Brittany Hall","Washington Square","An RA reported underage drinking.","Closed/ Referred to Office of Student Conduct & Community Standards"
"00149-2025","01-26-2025 12:57 AM","01-26-2025 12:05 AM","Liquor Law Violation","Carlyle Court Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"00132-2025","01-24-2025 11:58 PM","01-24-2025 10:35 PM","Liquor Law Violation (x5)","Rubin Hall","Washington Square","An RA reported underage alcohol possession.","Closed/ Referred to Office of Student Conduct & Community Standards"
