col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-1959,07-19-2025 6:18 AM,07-19-2025 6:15 AM,Larceny,Weinstein Hall,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-19
2025-1963,07-19-2025 8:57 AM,07-19-2025 8:57 AM,Criminal Mischief,Vanderbilt Hall,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-19
2025-1955,07-19-2025 3:15 AM,07-19-2025 3:15 AM - 07-19-2025 4:30 AM,Harassment,Alumni Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-07-19
2025-1958,07-19-2025 3:50 AM,07-19-2025 3:50 AM,Larceny,65 West 3rd Street,Washington Square,A Campus Safety Officer reported stolen property.,Closed/ Referred to NYPD,2025-07-19
2025-1952,07-19-2025 2:12 AM,07-19-2025 2:12 AM,Criminal Mischief,Education Building,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-19
2025-1961,07-19-2025 8:18 AM,07-19-2025 8:18 AM,Criminal Mischief,5 Washington Place,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-19
2025-1953,07-19-2025 3:00 AM,07-19-2025 3:00 AM,Criminal Mischief,Silver Center,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-19
2025-1965,07-20-2025 2:05 AM,07-20-2025 2:05 AM,Criminal Mischief,Lipton Hall,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-20
2025-1968,07-20-2025 5:55 PM,07-20-2025 4:30 PM - 07-20-2025 5:51 PM,Larceny,Basic Science,Kips Bay,A student report missing property.,Closed/ Referred to NYPD,2025-07-20
2025-1976,07-21-2025 5:15 PM,07-21-2025 4:20 PM 07-21-2025 4:30 PM,Larceny,Washington Square Park,Washington Square,A staff member reported an attempted larceny.,Closed,2025-07-21
2025-1979,07-21-2025 4:40 PM,07-20-2025 10:00 AM,Harassment,Paulson Center,Washington Square,An NYU-Affiliate reported Harassment.,Closed,2025-07-21
2025-1971,07-21-2025 9:25 AM,07-21-2025 9:25 AM,Criminal Mischief,Carter Hall,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-21
2025-1991,07-23-2025 3:30 PM,07-23-2025 11:30 AM - 07-23-2025 12:30 AM,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Open,2025-07-23
2025-1986,07-23-2025 8:55 AM,07-22-2025 10:54 PM - 07-23-2025 7:15 AM,Larceny,6 Metrotech Center,Brooklyn Commons,A staff member reported missing property.,Open,2025-07-23
2025-1988,07-23-2025 11:51 AM,07-23-2025 8:08 AM - 07-23-2025 11:49 AM,Motor Vehicle Theft,Schwartz Hall - Exterior,Kips Bay & Langone (Public property only),A visitor reported a stolen e-scooter.,Closed/ Referred to NYPD,2025-07-23
2025-1992,07-23-2025 6:45 PM,07-19-2025 5:00 PM,Larceny,80 Lafayette,Washington Square,An NYU-affiliate reported missing property.,Closed,2025-07-23
2025-1997,07-24-2025 11:55 AM,07-24-2025 11:55 AM,Harassment,Basic Science Building - Exterior,Kips Bay,A student reported Harassment.,Closed,2025-07-24
2025-2006,07-25-2025 12:40 PM,07-23-2025 - 07-24-2025,Larceny,Lipton Hall,Washington Square,A non-NYU affiliate report missing property.,Open,2025-07-25
2025-2034,07-26-2025 1:31 AM,07-26-2025 12:49 AM,Aggravated Assault / Weapons Law Violation,530 LaGuardia Place,Washington Square,NYPD reported an Aggravated Assault / Weapons Law Violation.,Closed/ Referred to NYPD,2025-07-26
2025-2013,07-26-2025 7:05 PM,07-26-2025 1:30 PM - 07-26-2025 4:00 PM,Larceny,Palladium Hall,Washington Square,A faculty member reported missing property.,Closed,2025-07-26
2025-2015,07-27-2025 2:53 PM,07-24-2025 - 07-27-2025,Larceny,Carlyle Court,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-07-27
02074-2025,07-28-2025 1:44 PM,07-28-2025 1:44 PM,Larceny,Paulson Residence Hall,Washington Square,A student reported missing property.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-07-28
2025-2030,07-29-2025 3:10 PM,07-29-2025 10:00 AM - 07-29-2025 3:09 PM,Larceny,Warren Weaver - Exterior,Washington Square,A visitor reported missing property.,Open,2025-07-29
2025-2024,07-29-2025 4:15 AM,07-29-2025 4:15 AM,Criminal Mischief,244 Greene Street,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-07-29
2025-2040,07/30/2025 6:49 PM,07/30/2025 8:30 AM - 07/30/2025 6:45 PM,Motor Vehicle Theft,370 Jay Street - Exterior,Brooklyn Commons,An affiliate reported a E-Bike theft.,Open,2025-07-30
2025-2048,07/31/2025 5:02 PM,07-30-2025,Harassment,Schwartz Hall,Kips Bay,A student reported Harassment.,Open,2025-07-31
2025-2053,08/01/2025 4:19 AM,08/01/2025 4:15 AM - 08/01/2025 4:53 AM,Criminal Mischief,Lipton Residence Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/Referred to NYPD,2025-08-01
2025-2058,08-01-2025 1:29 pm,08-01-2025 9:00 am - 08-01-2025 12:50 pm,Larceny,2 Metro Tech,Brooklyn Commons,A summer camp student reported a larceny.,Open,2025-08-01
02119-2025,08-01-2025 11:22 pm,06-24-2025 12:00 pm - 08-01-2025,Stalking,Palladium Hall,Washington Square,A student reported stalking.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-08-01
02118-2025,08-01-2025 8:52 pm,08-01-2025 7:30 pm,Possession of a Forged Instrument,Third Avenue North,Washington Square,An individual presented a false ID to borrow recreational equipment.,Open,2025-08-01
2025-2063,08-02-2025 9:15 pm,08-02-2025 9:15 pm,Larceny,Tisch Hall,Washington Square,A catering employee reported a larceny.,Open,2025-08-02
2025-2065,08-02-2025 9:49 pm,07-31-2025 6:00 pm 08-02-2025 12:00 pm,Larceny,Othmer Hall,Brooklyn Commons,A student reported a larceny.,Open,2025-08-02
2025-2075,08-03-2025 11:20 pm,08-03-2025 11:20 pm,Criminal Mischief,Gould Plaza,Washington Square,A Campus Safety Officer observed graffiti on a construction wall.,Open,2025-08-03
0271-2025,08-03-2025 10:47 pm,08-03-2025 10:47 pm,Criminal Mischief,Alumni Hall,Washington Square,A Campus Safety Officer observed grafitti.,Open,2025-08-03
2025-2074,08-03-2025 10:47 pm,08-03-2025 10:47 pm,Criminal Mischief,Alumni Hall (exterior),Washington Square,A Campus Safety Officer reported graffiti.,Closed,2025-08-03
02142- 2025,08-03-2025 10:19 pm,08-03-2025 8:00 pm 08-03-2025 10:19 pm,Harassment,Weinstein Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-08-03
2025-2069,08-03-2025 1:13 pm,08-03-2025 9:20 pm 08-03-2025 12:20 pm,"Harassment (x2), Attempted Criminal Trespass",Gramercy Green,Washington Square,A student reported harassment and a Campus Safety Officer reported harassment and prevented a criminal trespass.,Open,2025-08-03
2025-2070,08-03-2025 2:00 pm,08-02-2025 7:00 pm - 08-02-2025 11:00 pm,Larceny,Furman Hall,Washington Square,A student reported a larceny.,Open,2025-08-03
