"col1","col2","col3","col4","col5","col6","col7","col8"
"00505-2025","11-05-2024","11-29-2024 9:00 PM","Sexual Abuse / Dating Violence","Palladium Hall","Washington Square","A student reported sexual abuse and dating violence.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3402","11/29/24 06:32 AM","11/29/24 06:12 AM - 11/29/24 06:18 AM","Larceny","Coral Towers exterior","Washington Square Park","A Campus Safety Officer reported a larceny.","Closed"
"2024-3391","11/27/24 04:23 PM","11/18/24 08:00 PM - 11/19/24 11:00 AM","Larceny","2 MetroTech","Brooklyn Commons","A student reported a larceny.","Open"
"2024-3389","11/27/24 11:40 AM","11/26/24 05:00 PM - 12/30/99 12:00 AM","Aggravated Assault","Washington Square South and Thompson Street","Washington Square","NYPD reported an aggravated assault","Closed/ Referred to NYPD"
"2024-3387","11/27/24 10:45 AM","11/27/24 10:43 AM - 11/27/24 10:45 AM","Criminal Trespass","Founders Hall","Washington Square","A Campus Safety Officer Reported a Criminal Trespass.","Closed/ Referred to NYPD"
"2024-3382","11/26/24 03:40 PM","11/26/24 03:12 PM - 11/26/24 03:45 PM","Larceny","Gallatin","Washington Square","A student reported stolen property.","Closed/ Referred to NYPD"
"2024-3379","11/26/24 01:59 PM","11/26/24 01:59 PM - 11/26/24 02:15 PM","Criminal Trespass","Schwartz Hall","Kips Bay","A staff member reported a Criminal Trespass.","Closed/ Referred to NYPD"
"2024-3378","11/26/24 01:04 PM","11/19/24 03:00 PM - 11/19/24 07:30 PM","Larceny","Schwartz Hall","Kips Bay","A student reported missing property.","Open"
"2024-3377","11/26/24 12:39 PM","11/26/24 07:01 AM - 11/26/24 01:15 PM","Bomb Threat/Falsely Reporting an Incident","NYU Bookstore","Washington Square","A staff member reported a Bomb Threat/ Falsely Reporting an Incident.","Closed/ Referred to NYPD"
"03801-2024","11/25/24 09:21 PM","11/25/24 08:55 PM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","A student reported a Liquor Law Violation. x3","Closed/ Referred to Office of Student Conduct & Community Standards"
"03800-2024","11/25/24 05:36 PM","11/22/24 10:30 PM","Harassment","Lipton Residence Hall","Washington Square","A student reported Harassment.","Open"
"2024-3367","11/25/24 04:36 PM","11/21/24 10:30 PM","Harassment","Ireland House","Washington Square","A staff member reported Harassment.","Open"
"2024-3361","11/25/24 12:35 PM","11/25/24 09:15 AM - 11/25/24 12:30 PM","Larceny","19 West 4th Street - Exterior","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"03771-2024","11/24/24 11:12 AM","11/24/24 01:15 AM","Liquor Law Violation","Third North Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03765-2024","11/23/24 11:57 PM","11/22/24 09:00 AM","Liquor Law Violation","Gramercy Green Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03759-2024","11/23/24 09:29 PM","11/20/24 02:00 PM","Liquor Law Violation","Alumni Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03758-2024","11/23/24 05:07 PM","11/22/24 03:41 PM","Liquor Law Violation","Palladium Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"03757-2024","11/21/24 07:55 PM","11/20/24 12:15 PM","Liquor Law Violation","Founders Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03741-2024","11/22/24 07:19 PM","11/22/24 06:11 PM","Drug Law Violation","Carlyle Court","Washington Square","A student reported a Drug Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03735-2024","11/22/24 06:02 PM","11/20/24 01:00 PM","Liquor Law Violation","Alumni Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03734-2024","11/22/24 05:59 PM","11/20/24 01:00 PM","Liquor Law Violation","Sixth Street Residence Hall","Washington Square","A student reported a Liquor Law Violation. x2","Closed/ Referred to Office of Student Conduct & Community Standards"
"03733-2024","11/22/24 05:54 PM","11/20/24 01:00 PM","Liquor Law Violation","Alumni Residence Hall","Washington Square","A student reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2024-3359","11/25/24 10:29 AM","11/25/24 10:18 AM - 11/25/24 10:23 AM","Criminal Trespass","5 Washington Place","Washington Square","A campus safety officer reported a Criminal Trespass.","Closed"
"2024-3358","11/25/24 09:25 AM","11/25/24 08:56 AM - 11/25/24","Criminal Trespass","Paulson Center","Washington Square","A staff member reported a Criminal Trespass.","Open"
"2024-3354","11/24/24 08:27 PM","11/24/24 08:20 PM","Robbery","Washington Square Park","Washington Square","A student reported a robbery.","Closed"
"2024-3353","11/24/24 05:45 PM","11/24/24 05:39 PM - 11/24/24 05:58 PM","Harassment","404 Lafayette Street - Exterior","Washington Square","A student reported Harassment.","Closed"
"2024-3349","11/24/24 12:10 AM","11/24/24 12:05 AM - 11/24/24 12:08 AM","Harassment","Dibner Library","Brooklyn Commons","A student reported Harassment.","Open"
"2024-3347","11/23/24 08:20 PM","11/23/24 07:15 PM - 11/23/24 07:50 PM","Larceny","Paulson Center","Washington Square","A student reported a Larceny.","Closed"
"2024-3346","11/23/24 05:20 PM","11/23/24 04:30 PM - 11/23/24","Harassment","Greene Street & Waverly Place","Washington Square","A student reported Harassment.","Closed"
