"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-0565","02-28-2025 5:07 PM","02-28-2025 5:03 PM","Criminal Trespass","Fairchild Building","Washington Square","A Campus Safety Officer reported Criminal Trespass.","Closed"
"2025-0561","02-28-2025 4:40 PM","02-28-2025 4:38 PM - 02-28-2025 5:00 PM","Criminal Mischief","Gould Plaza","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2025-0559","02-28-2025 2:08 PM","02-28-2025 11:00 AM - 02-28-2025","Larceny","Silver Center","Washington Square","A student reported a Larceny.","Open"
"2025-0542","02-27-2025 9:01 AM","02-27-2025 9:01 AM - 02-27-2025 11:03 AM","Disorderly Conduct","Schwartz Hall","Kips Bay","A Campus Safety Officer reported Disorderly Conduct.","Closed/ Referred to NYPD"
"2025-0538","02-26-2025 2:40 PM","02-24-2025 - 02-26-2025 10:00 PM","Criminal Mischief","Zurich Hall","Washington Square","A staff member reported damage to property.","Closed/ Referred to NYPD"
"2025-0535","02-26-2025 1:32 PM","02-25-2025 11:00 PM","Found Property (reclassified from Larceny)","Cantor Film Center","Washington Square","A student reported missing property.","Closed"
"2025-0534","02-26-2025 11:30 AM","02-21-2025 2:22 PM - 02-21-2025 2:30 PM","Larceny","Paulson Center - Exterior","Washington Square","A Non-NYU party reported stolen property.","Open"
"2025-0532","02-26-2025 11:05 AM","02-13-2025 - 02-21-2025","Larceny","Paulson Center","Washington Square","A staff member reported missing property.","Open"
"2025-0530","02-26-2025 8:00 AM","02-26-2025 7:36 PM","Criminal Mischief","Barney Building","Washington Square","A Campus Safety Officer reported graffiti.","Closed/ Referred to NYPD"
"2025-0523","2/25/2025 17:01","2/25/2025 4:30 PM - 2/25/2025","Larceny - Embezzlement","Washington Square Park","Washington Square","A student reported a Larceny/ Embezzlement. x2","Closed"
"2025-0521","2/25/2025 2:49 PM","2/16/2025","Criminal Mischief","Paulson Center","Washington Square","A staff member reported Criminal Mischief.","Open"
"00536-2025","02-24-2025 1:44 AM","02-23-2025 10:50 PM","Criminal Mischief","Weinstein Residence Hall","Washington Square","An RA reported defacement of property.","Open"
"00528-2025","02-24-2025 12:17 PM","02-23-2025 12:10 AM","Dating Violence / Sexual Abuse","Gramercy Green Residence Hall","Washington Square","A staff member reported Sexual Abuse and Dating Violence.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-0513","02-24-2025 4:44 PM","02-24-2025 3:00 PM","Harassment","Lilian Vernon Center","Washington Square","A student reported Harassment.","Open"
"2025-0511","02-24-2025 4:30 PM","02-24-2025","Harassment","3 Washington Square Village","Washington Square","A student reported Harassment.","Closed/ Referred to NYPD"
"2025-0510","02-24-2025 3:37 PM","02-24-2025 3:20 PM","Traffic Law Violation","Schwartz Hall - Exterior","Kips Bay","A patient reported a hit and run.","Closed/ Referred to NYPD"
"2025-0508","02-24-2025 12:55 PM","02-24-2025 11:50 AM - 02-24-2025 12:40 PM","Larceny","Weinstein Hall","Washington Square","A student reported missing property.","Open"
"2025-0507","02-24-2025 12:05 PM","02-24-2025 12:03 PM","Larceny","Vanderbilt Hall - Exterior","Washington Square","A staff member reported Larceny.","Closed/ Referred to NYPD"
