"col1","col2","col3","col4","col5","col6","col7","col8"
"2025-1381","05/07/2025 4:22 PM","05/07/2025 12:30 PM - 05/07/2025 3:45 PM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Closed/ Referred to NYPD"
"2025-1380","05/07/2025 2:34 PM","05/07/2025 8:00 PM - 05/07/2025 11:59 PM","Larceny","Weinstein Residence Hall","Washington Square","A student reported a Larceny.","Open"
"01391-2025","05/06/2025 9:48 AM","05/03/2025 11:15 PM","Liquor Law Violation","Birttany Hall","Washington Square","A staff member reported a Liquor Law Violation.","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1378","05/07/2025 12:15 PM","05/06/2025 6:15 PM - 05/06/2025 11:25 PM","Larceny","Paulson Center","Washington Square","A student reported a theft.","Open"
"2025-1377","05/07/2025 5:37 AM","05/07/2025 5:35 AM - 05/07/2025 5:36 AM","Criminal Trespass","Lipton Hall","Washington Square","A contractor reported a criminal trespass.","Open"
"2025-1376","05/06/2025 10:20 PM","05/03/2025 6:30 PM - 05/06/2025 11:20 AM","Criminal Impersonation with Intent to Defraud","6 MetroTech Center","Brooklyn Commons","A student reported an email scam.","Open"
"2025-1375","05/06/2025 5:35 PM","05/06/2025 5:10 PM - 05/06/2025 5:30 PM","Larceny","Bobst Library","Washington Square","A student reported a theft.","Open"
"2025-1368","05/06/2025 12:27 PM","05/06/2025 10:26 AM - 05/06/2025 10:49 AM","Criminal Trespass","6 MetroTech Center","Brooklyn Commons","A Campus Safety employee escorted a trespasser out of a building.","Open"
"01372-2025","05/04/2025 1:27 PM","05/04/2025 10:30 AM - 05-04-2025","Arson","University Residence Hall","Washington Square","A student reported an Arson.","Closed/ Referred to Office of Student Conduct & Community Standards"
"01367-2025","05/03/2025 11:54 PM","05/03/2025 11:05 PM - 05/03/2025 11:05 PM","Liquor Law Violation x4","Founders Residence Hall","Washington Square","A student reported a Liquor Law Violation. x4","Closed/ Referred to Office of Student Conduct & Community Standards"
"2025-1363","05/06/2025 1:19 AM","05/06/2025 1:10 AM - 05/06/2025 2:11 AM","Criminal Mischief","Silver Center - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2025-1361","05/05/2025 8:19 PM","05/05/2025 8:17 PM - 05/05/2025 8:54 PM","Attempted Robbery","Carlyle Court Residence Hall","Washington Square","A campus safety officer reported an Attempted Robbery.","Closed/ Referred to NYPD"
"2025-1360","05/05/2025 8:00 PM","05/03/2025 10:30 PM - 05/04/2025 1:00 PM","Larceny","Bobst Library","Washington Square","A student reported a Larceny.","Open"
"2025-1359","05/05/2025 6:29 PM","04/22/2025 7:30 PM - 04-22-2025","Dating Violence / Aggravated Assault / Fondling","Silver Center","Washington Square","A student reported Dating Violence / Aggravated Assault / Fondling.","Open"
"2025-1353","05/05/2025 11:07 AM","05/05/2025 11:07 AM - 05/05/2025 12:20 PM","Criminal Mischief","14 University Place - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2025-1352","05/05/2025 11:41 AM","05/05/2025 8:39 AM - 05/05/2025 12:15 PM","Criminal Mischief","726 Broadway","Washington Square","A staff member reported Criminal Mischief.","Open"
"2025-1351","05/05/2025 10:35 AM","05/03/2025 7:57 PM - 05/03/2025 8:06 PM","Larceny","Hayden Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-1346","05/04/2025 11:51 AM","05/03/2025 8:58 PM - 05/03/2025 9:03 PM","Larceny","Hayden Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-1343","05/04/2025 5:06 AM","05/04/2025 5:06 AM - 05/04/2025 5:06 AM","Criminal Mischief","Third North Residence Hall - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Open"
"2025-1342","05/04/2025 1:41 AM","05/04/2025 10:30 PM - 05/04/2025 1:29 AM","Larceny","Palladium Residence Hall","Washington Square","A student reported a Larceny.","Open"
"2025-1341","05/04/2025 12:41 AM","05/04/2025 12:40 AM - 05/04/2025 1:53 AM","Criminal Mischief","Genomics - Exterior","Washington Square","A campus safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
"2025-1339","05/03/2025 10:49 PM","05/03/2025 10:49 PM - 05/03/2025 10:49 PM","Simple Assault","Lipton Residence Hall","Washington Square","A student reported a Simple Assault.","Open"
"2025-1331","05/02/2025 5:52 PM","05/01/2025 12:25 PM - 05/01/2025 1:40 PM","Larceny","404 Lafayette Street","Washington Square","A student reported a Larceny.","Open"
"2025-1330","05/02/2025 3:44 PM","04/03/2025 1:31 PM - 04/03/2025 1:31 PM","Criminal Mischief","Schwartz Hall","Kips Bay","A staff member reported Criminal Mischeif.","Open"
"2025-1325","05/02/2025 9:57 AM","04-14-2025 - 05/02/2025 7:36 AM","Harassment","Schwartz Plaza","Washington Square","A staff member reported Harassment.","Open"
"2025-1324","05/02/2025 9:55 AM","03/31/2025 3:31 PM - 03/31/2025 4:13 PM","Public Lewdness","Rogers Hall","Brooklyn Commons","A staff member reported Public Lewdness.","Open"
"2025-1317","05/01/2025 3:32 PM","05-01-2025 - 05/01/2025 3:29 PM","Simple Assault","561 LaGuardia Place","Washington Square","A safety officer reported Simple Assault.","Closed/ Referred to NYPD"
"2025-1314","05/01/2025 11:36 AM","05/01/2025 11:36 AM - 05/01/2025 11:38 AM","Criminal Mischief","370 Jay Street - Exterior","Brooklyn Commons","A safety officer reported Criminal Mischief.","Closed/ Referred to NYPD"
